12:39:36.606 -> Humidity: 56.10 %, Temp: 21.30 Celsius
12:39:38.638 -> Humidity: 56.80 %, Temp: 21.30 Celsius
12:39:40.622 -> Humidity: 57.20 %, Temp: 21.30 Celsius
12:39:42.629 -> Humidity: 57.40 %, Temp: 21.30 Celsius
12:39:44.668 -> Humidity: 57.80 %, Temp: 21.30 Celsius
12:39:46.653 -> Humidity: 60.90 %, Temp: 21.30 Celsius
12:39:48.681 -> Humidity: 63.20 %, Temp: 21.40 Celsius
12:39:50.683 -> Humidity: 62.70 %, Temp: 21.40 Celsius
12:39:52.683 -> Humidity: 61.30 %, Temp: 21.50 Celsius
12:39:54.684 -> Humidity: 62.70 %, Temp: 21.50 Celsius
12:39:56.720 -> Humidity: 63.80 %, Temp: 21.50 Celsius
12:39:58.724 -> Humidity: 62.30 %, Temp: 21.60 Celsius
12:40:00.740 -> Humidity: 63.00 %, Temp: 21.60 Celsius
12:40:02.749 -> Humidity: 63.10 %, Temp: 21.60 Celsius
12:40:04.743 -> Humidity: 61.40 %, Temp: 21.60 Celsius
12:40:06.745 -> Humidity: 60.00 %, Temp: 21.60 Celsius
12:40:08.782 -> Humidity: 59.30 %, Temp: 21.60 Celsius
12:40:10.789 -> Humidity: 58.90 %, Temp: 21.60 Celsius
12:40:12.781 -> Humidity: 59.90 %, Temp: 21.50 Celsius
12:40:14.795 -> Humidity: 60.60 %, Temp: 21.50 Celsius
12:40:16.803 -> Humidity: 61.40 %, Temp: 21.60 Celsius
12:40:18.835 -> Humidity: 60.90 %, Temp: 21.60 Celsius
12:40:20.842 -> Humidity: 59.70 %, Temp: 21.60 Celsius
12:40:22.838 -> Humidity: 58.60 %, Temp: 21.60 Celsius
12:40:24.863 -> Humidity: 57.80 %, Temp: 21.60 Celsius
12:40:26.850 -> Humidity: 57.00 %, Temp: 21.60 Celsius
12:40:28.872 -> Humidity: 56.30 %, Temp: 21.60 Celsius
12:40:30.907 -> Humidity: 55.90 %, Temp: 21.60 Celsius
12:40:32.895 -> Humidity: 55.40 %, Temp: 21.50 Celsius
12:40:34.891 -> Humidity: 54.90 %, Temp: 21.60 Celsius
12:40:36.910 -> Humidity: 54.80 %, Temp: 21.50 Celsius
12:40:38.926 -> Humidity: 54.60 %, Temp: 21.50 Celsius
12:40:40.933 -> Humidity: 54.30 %, Temp: 21.50 Celsius
12:40:42.947 -> Humidity: 54.20 %, Temp: 21.50 Celsius
12:40:44.959 -> Humidity: 54.30 %, Temp: 21.40 Celsius
12:40:46.983 -> Humidity: 54.60 %, Temp: 21.40 Celsius
12:40:48.957 -> Humidity: 54.70 %, Temp: 21.40 Celsius
12:40:50.997 -> Humidity: 54.70 %, Temp: 21.40 Celsius
12:40:52.987 -> Humidity: 55.00 %, Temp: 21.40 Celsius
12:40:54.988 -> Humidity: 55.10 %, Temp: 21.40 Celsius
12:40:57.005 -> Humidity: 54.70 %, Temp: 21.40 Celsius
12:40:59.013 -> Humidity: 54.60 %, Temp: 21.30 Celsius
12:41:01.034 -> Humidity: 54.60 %, Temp: 21.30 Celsius
12:41:03.040 -> Humidity: 54.60 %, Temp: 21.30 Celsius
12:41:05.059 -> Humidity: 55.50 %, Temp: 21.30 Celsius
12:41:07.072 -> Humidity: 55.40 %, Temp: 21.30 Celsius
12:41:09.086 -> Humidity: 54.70 %, Temp: 21.30 Celsius
12:41:11.089 -> Humidity: 54.50 %, Temp: 21.30 Celsius
12:41:13.096 -> Humidity: 54.20 %, Temp: 21.30 Celsius
12:41:15.085 -> Humidity: 53.90 %, Temp: 21.30 Celsius
12:41:17.102 -> Humidity: 53.50 %, Temp: 21.20 Celsius
12:41:19.114 -> Humidity: 53.40 %, Temp: 21.20 Celsius
12:41:21.128 -> Humidity: 53.30 %, Temp: 21.20 Celsius
12:41:23.144 -> Humidity: 53.00 %, Temp: 21.10 Celsius
12:41:25.139 -> Humidity: 52.90 %, Temp: 21.10 Celsius
12:41:27.171 -> Humidity: 52.80 %, Temp: 21.10 Celsius
12:41:29.161 -> Humidity: 52.90 %, Temp: 21.10 Celsius
12:41:31.195 -> Humidity: 52.90 %, Temp: 21.10 Celsius
12:41:33.185 -> Humidity: 52.90 %, Temp: 21.00 Celsius
12:41:35.209 -> Humidity: 53.10 %, Temp: 21.00 Celsius
12:41:37.206 -> Humidity: 53.30 %, Temp: 21.00 Celsius
12:41:39.207 -> Humidity: 53.30 %, Temp: 21.00 Celsius
12:41:41.233 -> Humidity: 53.20 %, Temp: 20.90 Celsius
12:41:43.244 -> Humidity: 53.20 %, Temp: 20.90 Celsius
12:41:45.253 -> Humidity: 53.30 %, Temp: 20.90 Celsius
12:41:47.270 -> Humidity: 53.50 %, Temp: 20.90 Celsius
12:41:49.272 -> Humidity: 53.40 %, Temp: 20.90 Celsius
12:41:51.291 -> Humidity: 53.40 %, Temp: 20.90 Celsius
12:41:53.279 -> Humidity: 53.60 %, Temp: 20.90 Celsius
12:41:55.285 -> Humidity: 53.50 %, Temp: 20.80 Celsius
12:41:57.324 -> Humidity: 53.60 %, Temp: 20.90 Celsius
12:41:59.309 -> Humidity: 53.50 %, Temp: 20.80 Celsius
12:42:01.333 -> Humidity: 53.50 %, Temp: 20.80 Celsius
12:42:03.343 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:05.340 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:07.343 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:09.378 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:11.388 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:13.404 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:15.397 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:17.423 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:19.434 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:21.417 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:23.421 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:25.432 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:27.456 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:29.467 -> Humidity: 53.40 %, Temp: 20.80 Celsius
12:42:31.486 -> Humidity: 53.50 %, Temp: 20.80 Celsius
12:42:33.476 -> Humidity: 53.40 %, Temp: 20.70 Celsius
12:42:35.504 -> Humidity: 53.50 %, Temp: 20.80 Celsius
12:42:37.514 -> Humidity: 53.50 %, Temp: 20.70 Celsius
12:42:39.520 -> Humidity: 53.50 %, Temp: 20.70 Celsius
12:42:41.515 -> Humidity: 53.50 %, Temp: 20.70 Celsius
12:42:43.530 -> Humidity: 53.60 %, Temp: 20.70 Celsius
12:42:45.556 -> Humidity: 54.10 %, Temp: 20.70 Celsius
12:42:47.547 -> Humidity: 54.10 %, Temp: 20.70 Celsius